Code name,Code category,Frequency
Code 1: City of Origin,Places,4
Code 2: Childhood,Time Period/Life era,7
Code 3: Freedom,Feeling,3
Code 4: Bicycling,Activity,1
Code 5: Parenting,Time Period/Life era,8
Code 6: Positive family relationships,Social identity,5
Code 7: Children,Types of people,8
Code 8: Happiness,Feeling,6
Code 9: Contentment,Feeling,6
Code 10: Pride,Feeling,4
Code 11: Different expectations,Social identity,2
Code 12: Societal expectations,Social progress/development,2
Code 13: Gender roles,Social progress/development,2
Code 14: Post-War America,Time Period/Life era,2
Code 15: Spouse,Types of people,12
Code 16: College,Places,2
Code 17: Social programs,Social progress/development,9
Code 18: Marriage,Time Period/Life era,3
Code 19: Gratitutde,Feeling,1
Code 20: Sewing,Activity,1
Code 21: Canning ,Activity,1
Code 22: Being Active,Character traits,4
Code 23: Fruit,Food,1
Code 24: Abundance,Feeling,1
Code 25: Aspirations,Social identity,3
Code 26: Travel ,Activity,9
Code 27: Adventurous spirit,Social identity,3
Code 28: Imparting wisdom,Character traits,4
Code 29: Change in social norms,Social progress/development,5
Code 30: Outdoors,Places,4
Code 31: Negative view of video games/tech,Technology,6
Code 32: Social Connections,Social identity,9
Code 33: Lived Experience,Social identity,1
Code 34: Teaching,Social identity,5
Code 35 Learning,Social identity,3
Code 36: Intuition,Feeling,5
Code 37: Work/Job,Social identity,7
Code 38: Friends,Types of people,2
Code 39: Covid,Time Period/Life era,1
Code 40: Positive thinking,Character traits,4
Code 41: Food,Food,14
Code 42: Worry,Feeling,2
Code 43: Politics,Social identity,5
Code 44: Acceptance/tolerance,Social progress/development,1
Code 45: Excitement,Feeling,1
Code 46: WW2,Time Period/Life era,7
Code 47: Intolerance,Social progress/development,2
Code 48: Racial Injustice,Social progress/development,1
Code 49: Cultural appreciation,Social progress/development,1
Code 50: Knitting,Activity,3
Code 51: Siblings,Types of people,1
Code 52: Gardening,Activity,1
Code 53: Fathers,Types of people,3
Code 54: The Depression,Time Period/Life era,3
Code 55: Hard times,Time Period/Life era,1
Code 56: Mothers,Types of people,1
Code 57: Religion,Social identity,2
Code 58: Home,Places,2
Code 59: Aging,Life event,2
