Code name,Code category,Frequency
fruit,type of food 13,13
food,type of food 13,13
tapioca/ pudding,type of food 13,13
meat,type of food 13,13
vegetable/vegetarian,type of food 13,13
breakfast/lunch/dinner,type of food 13,13
polenta,type of food 13,13
soup,type of food 13,13
bacon,type of food 13,13
eggs,type of food 13,13
pasta,type of food 13,13
salad,type of food 13,13
child/hood/ren/ kids,family 7,7
family,family 7,7
son/s,family 7,7
daughter,family 7,7
mom/mother,family 7,7
sister,family 7,7
play/ing,family 7,7
wonderful,feeling 7,7
proud,feeling 7,7
free/dom,feeling 7,7
happy,feeling 7,7
horrible,feeling 7,7
positive,feeling 7,7
worry/ied/ing,feeling 7,7
Santa Clara,place 7,7
ocean,place 7,7
beach,place 7,7
San Jose,place 7,7
outside,place 7,7
home/owners,place 7,7
yellowstone,place 7,7
knit/ting,activity 6,6
handwork,activity 6,6
embroidery,activity 6,6
camp,activity 6,6
baseball,activity 6,6
garden,activity 6,6
pray/God church,belief 5,5
Catholic,belief 5,5
priest,belief 5,5
gut (instinct),belief 5,5
spirit,belief 5,5
husband,marriage 4,4
married,marriage 4,4
wedding,marriage 4,4
nuptual,marriage 4,4
education,pursuit of knowledge 4,4
college,pursuit of knowledge 4,4
The Four Agreements,pursuit of knowledge 4,4
learn/ed/ing,pursuit of knowledge 4,4
travel/ing/ed/ trip,travel 4,4
train,travel 4,4
ride/ing the rails,travel 4,4
hobo,travel 4,4
90,age 3,3
grow up,age 3,3
young/er,age 3,3
teach/er/ing,career 3 ,3
work/job,career 3 ,3
attorney,career 3 ,3
war,critical moment 3,3
service (war),critical moment 3,3
Pearl harbor,critical moment 3,3
phone,technology 3,3
Facebook,technology 3,3
computer,technology 3,3
depression (the),event 2,2
virus,event 2,2
playhouse,important object,2
little red sweater,important object,2
japan/ese,related to critical moment 2,2
chinese,related to critical moment 2,2
rationing food,related to food 2,2
peasants recipes,related to food 2,2
money,related to job/work 2,2
bank,related to job/work 2,2
interview,work/job 2,2
salesman,work/job 2,2
congress,group,1
Roosevelt,person,1
