Transcript,Codes
Cate: Hi I'm here interviewing my grandpa. Would you like to introduce yourself?,
Mr. S: Sure my name is Richard Stamper. I'm Cate's grandfather.,
"Cate: Okay, we could just get into the questions I guess. So the first one I want to ask is, who is your biggest role model as a young person and why were they such a big role model to you?",
"Mr. S: Biggest role model as a young Person. I would have to say in the era that we grew up, it would've had to have been Franklin, Delano Roosevelt, and uh, At that time, he was the president that got us through the Great Depression, second World War, and was a very positive time for the, for the presidency and, uh, in our household He was like a hero.","Code 54: The Depression, Code 46: WW2, Code 87: Presidents"
"Cate: Yeah. I remember Grandma Reiner always used to tell like she had the one portrait of FDR and actually I have it now. It's in my room. So it's actually, that's pretty cool. Mm-hmm. . Yeah. Moving on to the next question. Um, if you could relive one year or one decade of your life, what would it be and why? ",
"Mr. S: Well, that's a tough question, but I would have to say, I think my 16th year, which you are in now Cate, was probably the happiest year of my life.You know, you get a chance to drive, you get your freedom, and you're becoming a young adult and everything is optimistic and I really did enjoy that year of my life. ","Code 3: Freedom, Code 78: Teenage years, Code 79: Optimism, Code 80: Happiness, Code 40: Positive thinking"
"Cate: Oh, nice. Yeah, I feel like, I mean, obviously things are different now, um, but I definitely understand what you mean. Mm-hmm. , it's like there's a lot going on and it's all kind of crazy, but it is, it's some, like, sometimes it's like a good kind of crazy and like it's fun to kind of have like a lot, there's a lot of, um, optimism that you have.",
"Mr. S: Well, we didn't have the, you, you guys have more restrictions on you, especially now with COVID-19, you have restrictions on your movement. Uh, you live in the suburbs, so you're not able to kind of wander out on your own. We grew up in an urban setting where you could walk out the door and, and basically you didn't have to worry. There weren't the strange things that are going on in today's world. So the parents were more, more at ease, letting you roam . And letting you grow up on your own. There's got a lot of supervision. Can't do that now. ","Code 11: Different expectations, Code 12: Societal expectations, Code 39: Covid, Code 29: Change in social norms, Code 30: Outdoors, Code 2: Childhood"
"Cate: Yeah. I mean I, especially now, I feel like it's not getting like the typical teenage experience, but it's still, you know, I think that there's parts of it that are like still the same. Mm-hmm. , and I definitely understand what you mean. Just like having, um, Like, it's just like very, it's very helpful time. Like a lot of things are looking up like a lot of new things, which is really fun. But yeah.",
"Mr. S: I think the exciting thing to be living in your era is the technological things that are happening not only in like the electronic type theater, but also in these healthcare, theater. Some of the new therapeutics are coming on and bioengineering that's really happening right now. I think. It's a very exciting time to be, you know, looking for a career and picking a career. It might, might really be very much fun and, and very helpful. ","Code 72: Positive views of tech, Code 45: Excitement, Code 37: Work/jobs, Code 80: Opportunities, Code 73: Change in Technology"
"Cate: Yeah, definitely. Um, like especially through school, like you had a lot of options to kind of explore your career and like, I guess, um, what you wanna do. It's just everything is like changing. And I went on this, like, I did like a couple of like field trips, I guess, where we would just go and kinda learn what it's like to be like a marine biologist or like a surgeon or something like that. And they're like, oh yeah, it's. And by the time that you get here, it'll be totally different. Mm-hmm. . So it's kind of like, that's just really, that's really exciting. ",
"Mr. S: Um, a lot of the opportunities that you guys have now didn't even exist when we were growing up. You know, it was heavy industry or you know, it was right after World War 2 focused on manufacturing and rebuilding the economy and the world at that time. Yeah, and a lot of these things have resolved, but you guys have opportunities to seek out employment and it's just really never happened. You know, once there, they hadn't been invented yet. You guys are lucky in that regard. ","Code 37: Work/Jobs, Code 46: WW2, Code 80: Opportunities, Code 73: Change in Technology"
"Cate: Yeah, definitely. We learn about the stuff in school all the time. Just like right now everything's just changing so quickly. You know, in 10 years things will be totally different. 10 years ago things were like completely. Just technologically. So I think, yeah, I'd like keep saying this, it's just exciting, but also a little bit, everything's kind of crazy. Mm-hmm. , but for the most part, exciting . Yeah, I think so. Um, I have another question. Um, if you could speak to your younger self, what advice would you give? ",
"Mr. S: Well, I would say to my younger self, don't be so conservative and take more risks. If I had to speak to my younger self, I think you had a tendency.  be more, uh, cautious in our era. Mm-hmm.  and, uh, but that's what I would say. I'd say take more risks than you did not be afraid. Uh, I think probably what I would like to have done is started a company sometime, but, you know, cause life moves on, you just get, uh, different obstacles and that just didn't happen. Mm-hmm. That would be, uh, that would be my biggest consult to myself. The other thing I would say is not to put so much time into your, like in, in our era it was a single family earner.","Code 28: Imparting wisdom, Code 25: Aspirations, Code 81: Taking Risks, Code 12: Societal expectations, Code 37: Work/Job"
"Mr. S: You know, women weren't generally employed then, so your income was an income that fed your family. So really taking a risk. It has impacted your family if it didn't work out that well. So I think most people sort of stayed with corporations. Mm-hmm.  probably longer than they should have, you know? Yeah.","Code 37: Work/Jobs, Code 13: Gender roles, Code 11: Different expectations, Code 81: Taking Risks, Code 29: Change in social norms"
"Cate: Cause you know, again, things are really different. Like both my parents work. If one of my parents wanted to like, kind of take a risk, it wouldn't really have, you know, it's not as much of like a all or nothing kind of situation. ",
Mr. S: Yeah. You wouldn't go to zero income. That's what the threat was in our era.,
"Cate: I was just thinking like, especially like after obviously. I, I have no idea what it was like, but thinking probably after the Great Depression, a lot of people would just wanna be economically stable, which is totally understandable. And risks probably weren't that ideal, I guess.",
"Mr. S: Yeah we were raised by depression era parents, so, you know, obviously they lived through the uncertainty of employment. You know, where the next meal was coming from. And in our case, you know, my dad did lose his job, uh, and he had to depend on the, what they called the government cheese at the time, the subsidies for food. And that was not a pretty sight.","Code 2: Childhood, Code 54: The Depression, Code 53: Fathers, Code 56: Mothers, Code 37: Work/job, Code 17: Social programs, Code 41 Food"
"Mr. S: So I think the memories of something like that does stick in your brain when you're a kid, he would your parents go to the surplus place and get, uh, to get groceries and you just, uh, well, saying to yourself, I don't want that to happen to me If I don't have to, you know? ","Code 2: Childhood, Code 54: The Depression, Code 53: Fathers, Code 17: Social programs, Code 41: Food, Code 25: Aspirations"
"Cate: Yeah, definitely. It's just weird to think how all these events are just gonna shape everything, like our decisions later on.",
"Mr. S: I don't know, I guess I never really thought about like how well I look at this covid situation. To me it's very analogous to 1967, 1968, which was the height of the unrest in the United States, uh, fallout from the opposition to the Vietnam War. Um, mm-hmm. , I was, I was in the Army at the time and, um, when Martin Luther King and, uh, Robert Kennedy got assassinated.","Code 39: Covid, Code 82: The 60s, Code 83: Social Unrest, Code 84: Vietnam, Code 85: The Army, Code 37: Work/Job"
"Mr. S: they mobilized, um, our unit. I was in Colorado, but they mobilized our unit. We went to Denver Airport for a few days waiting to be deployed to a US city that was burning. So, you know, a lot of these things that are going on now adays. <inaudible> and BLM is kind of very similar to the, um, the type of civil unrest that we had during those years prior to beginning of Vietnam War.","Code 85: The Army, Code 37: Work/Job, Code 83: Social unrest, Code 48: Racial. injustice, Code 84: Vietnam, Code 43: Politics"
"Mr. S: And also the other really weird similarities with this covid during the Vietnam War, they used to give the death count every day on the news. The number of soldiers got killed like they're doing now with. How many people have died from Covid death, COVID that, and uh, so you know, in a way history has repeated itself here. It's not quite as bad yet, but I've got a bad feeling about the upcoming election. It seems could get a little crazier than they are right now.","Code 39: Covid, Code 82: The 60s, Code 84: Vietnam, Code 85: The Army, Code 37: Work/Job, Code 86: Newsmedia, Code 43: Politics"
"Cate: Yeah, that is crazy. Similar, like how there's just a lot of civil unrest. Like people, a lot of people are very unhappy and I mean yeah, for sometimes for like, good reason, like, it's just a lot of, there's a lot of stuff going on and like it's affecting a lot of people. There's a lot of violence, a lot of unhappiness. ",
"Mr. S: Yeah. And that's, I think, and in the case in like 1968, the, um, there was really no reason for the war. And they kept trying to, kept trying to win it. Cause no one wanted be the first president to ever lose a war in United States and the people didn't want it and it lasted so long.","Code 82: The 60s, Code 84: Vietnam, Code 43: Politics, Code 87: Presidents"
